web-scraper-order,web-scraper-start-url,typelink,typelink-href,fundname,imagesrc,fundSize
"1700801271-5558","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","ICICI Prudential Thematic Advantage Fund (FOF)","https://img.smartspends.com/static/images/amc_logo/icici.png","₹1,270 Crs"
"1700801271-5559","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","ICICI Prudential Passive Strategy Fund (FOF)","https://img.smartspends.com/static/images/amc_logo/icici.png","₹118 Crs"
"1700801271-5560","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Quantum Equity FoF Scheme","https://img.smartspends.com/static/images/amc_logo/quantum.png","₹98 Crs"
"1700801271-5561","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Axis Equity ETFs FoF","https://img.smartspends.com/static/images/amc_logo/axis.png","₹15 Crs"
"1700801271-5562","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","ICICI Prudential India Equity FOF","https://img.smartspends.com/static/images/amc_logo/icici.png","₹79 Crs"
"1700801271-5563","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","ICICI Prudential Nifty 100 Low Volatility 30 ETF FOF","https://img.smartspends.com/static/images/amc_logo/icici.png","₹786 Crs"
"1700801271-5564","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","ICICI Prudential Nifty Alpha Low - Volatility 30 ETF FOF","https://img.smartspends.com/static/images/amc_logo/icici.png","₹265 Crs"
"1700801271-5565","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","ICICI Prudential S&P BSE 500 ETF FOF","https://img.smartspends.com/static/images/amc_logo/icici.png","₹52 Crs"
"1700801271-5566","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Mirae Asset Equity Allocator FoF","https://img.smartspends.com/static/images/amc_logo/mirae.png","₹523 Crs"
"1700801271-5567","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Mirae Asset Nifty 100 ESG Sector Leaders FoF","https://img.smartspends.com/static/images/amc_logo/mirae.png","₹108 Crs"
"1700801271-5568","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Mirae Asset Nifty India Manufacturing ETF FoF","https://img.smartspends.com/static/images/amc_logo/mirae.png","₹53 Crs"
"1700801271-5569","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Nippon India Nifty Next 50 Junior BeES FoF","https://static.smartspends.com/static/images/short_providers_logos/nippon_mf.jpg","₹207 Crs"
"1700801271-5570","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Nippon India Passive Flexicap FoF","https://static.smartspends.com/static/images/short_providers_logos/nippon_mf.jpg","₹189 Crs"
"1700801271-5571","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Quantum Nifty 50 ETF FoF","https://img.smartspends.com/static/images/amc_logo/quantum.png","₹22 Crs"
"1700801271-5572","https://www.etmoney.com/mutual-funds/explore","Equity FoFFunds that invests in other equity schemes","https://www.etmoney.com/mutual-funds/equity/equity-fof/89","Tata Nifty India Digital ETF FoF","https://img.smartspends.com/static/images/amc_logo/tata.png","₹38 Crs"
"1700801274-5573","https://www.etmoney.com/mutual-funds/explore","ContraInvests against the prevailing market trends","https://www.etmoney.com/mutual-funds/equity/contra/83","Kotak India EQ Contra Fund","https://img.smartspends.com/static/images/amc_logo/kotak.png","₹1,843 Crs"
"1700801274-5574","https://www.etmoney.com/mutual-funds/explore","ContraInvests against the prevailing market trends","https://www.etmoney.com/mutual-funds/equity/contra/83","Invesco India Contra Fund","https://img.smartspends.com/static/images/amc_logo/invesco.png","₹11,116 Crs"
"1700801277-5575","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","DSP US Flexible Equity Fund","https://img.smartspends.com/static/images/amc_logo/dsp.png","₹725 Crs"
"1700801277-5576","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Invesco India - Invesco Global Equity Income FoF","https://img.smartspends.com/static/images/amc_logo/invesco.png","₹17 Crs"
"1700801277-5577","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Sundaram Global Brand Fund","https://img.smartspends.com/static/images/amc_logo/sundaram.png","₹109 Crs"
"1700801277-5578","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Nippon India US Equity Opportunities Fund","https://static.smartspends.com/static/images/short_providers_logos/nippon_mf.jpg","₹563 Crs"
"1700801277-5579","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","PGIM India Global Equity Opportunities Fund","https://img.smartspends.com/static/images/amc_logo/pgim-india.png","₹1,285 Crs"
"1700801277-5580","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","DSP World Mining Fund","https://img.smartspends.com/static/images/amc_logo/dsp.png","₹159 Crs"
"1700801277-5581","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Invesco India - Invesco Pan European Equity FoF","https://img.smartspends.com/static/images/amc_logo/invesco.png","₹33 Crs"
"1700801277-5582","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Franklin India Feeder Franklin US Opportunities Fund","https://img.smartspends.com/static/images/amc_logo/franklin-templeton.png","₹2,896 Crs"
"1700801277-5583","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Edelweiss US Value Equity Offshore Fund","https://img.smartspends.com/static/images/amc_logo/edelweiss.png","₹85 Crs"
"1700801277-5584","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Edelweiss Europe Dynamic Equity Offshore Fund","https://img.smartspends.com/static/images/amc_logo/edelweiss.png","₹71 Crs"
"1700801277-5585","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Aditya Birla Sun Life Global Excellence Equity FoF","https://img.smartspends.com/static/images/amc_logo/absl.png","₹150 Crs"
"1700801277-5586","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","ICICI Prudential Global Stable Equity Fund (FOF)","https://img.smartspends.com/static/images/amc_logo/icici.png","₹109 Crs"
"1700801277-5587","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Aditya Birla Sun Life Global Emerging Opportunities Fund","https://img.smartspends.com/static/images/amc_logo/absl.png","₹228 Crs"
"1700801277-5588","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Aditya Birla Sun Life International Equity Fund","https://img.smartspends.com/static/images/amc_logo/absl.png","₹183 Crs"
"1700801277-5589","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","DSP World Energy Fund","https://img.smartspends.com/static/images/amc_logo/dsp.png","₹138 Crs"
"1700801277-5590","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","DSP Global Allocation Fund","https://img.smartspends.com/static/images/amc_logo/dsp.png","₹53 Crs"
"1700801277-5591","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Nippon India Japan Equity Fund","https://static.smartspends.com/static/images/short_providers_logos/nippon_mf.jpg","₹269 Crs"
"1700801277-5592","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Kotak Global Emerging Market Fund","https://img.smartspends.com/static/images/amc_logo/kotak.png","₹92 Crs"
"1700801277-5593","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Franklin India Feeder - Templeton European Opportunities Fund","https://img.smartspends.com/static/images/amc_logo/franklin-templeton.png","₹16 Crs"
"1700801277-5594","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Edelweiss ASEAN Equity Off Shore Fund","https://img.smartspends.com/static/images/amc_logo/edelweiss.png","₹64 Crs"
"1700801277-5595","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","DSP World Gold FoF","https://img.smartspends.com/static/images/amc_logo/dsp.png","₹733 Crs"
"1700801277-5596","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Franklin Asian Equity Fund","https://img.smartspends.com/static/images/amc_logo/franklin-templeton.png","₹250 Crs"
"1700801277-5597","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Edelweiss Emerging Markets Opportunities Equity Offshore Fund","https://img.smartspends.com/static/images/amc_logo/edelweiss.png","₹116 Crs"
"1700801277-5598","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Edelweiss Greater China Equity Off-shore Fund","https://img.smartspends.com/static/images/amc_logo/edelweiss.png","₹1,332 Crs"
"1700801277-5599","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","DSP World Agriculture Fund","https://img.smartspends.com/static/images/amc_logo/dsp.png","₹17 Crs"
"1700801277-5600","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","PGIM India Emerging Markets Equity Fund","https://img.smartspends.com/static/images/amc_logo/pgim-india.png","₹104 Crs"
"1700801277-5601","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Aditya Birla Sun Life NASDAQ 100 FOF","https://img.smartspends.com/static/images/amc_logo/absl.png","₹278 Crs"
"1700801277-5602","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Axis Global Equity Alpha FoF","https://img.smartspends.com/static/images/amc_logo/axis.png","₹860 Crs"
"1700801277-5603","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Axis Global Innovation FoF","https://img.smartspends.com/static/images/amc_logo/axis.png","₹691 Crs"
"1700801277-5604","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Axis Greater China Equity FoF","https://img.smartspends.com/static/images/amc_logo/axis.png","₹128 Crs"
"1700801277-5605","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Axis NASDAQ 100 FoF","https://img.smartspends.com/static/images/amc_logo/axis.png","₹116 Crs"
"1700801277-5606","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Bandhan US Equity FoF","https://img.smartspends.com/static/images/amc_logo/bandhan.png","₹261 Crs"
"1700801277-5607","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Baroda BNP Paribas Aqua FoF","https://img.smartspends.com/static/images/amc_logo/baroda-bnp-paribas.png","₹65 Crs"
"1700801277-5608","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","DSP Global Innovation FoF","https://img.smartspends.com/static/images/amc_logo/dsp.png","₹539 Crs"
"1700801277-5609","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Edelweiss US Technology Equity FoF","https://img.smartspends.com/static/images/amc_logo/edelweiss.png","₹1,762 Crs"
"1700801277-5610","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","HDFC Developed World Indexes FoF","https://img.smartspends.com/static/images/amc_logo/hdfc.png","₹1,034 Crs"
"1700801277-5611","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","ICICI Prudential Global Advantage Fund (FOF)","https://img.smartspends.com/static/images/amc_logo/icici.png","₹331 Crs"
"1700801277-5612","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","ICICI Prudential Strategic Metal and Energy Equity FoF","https://img.smartspends.com/static/images/amc_logo/icici.png","₹94 Crs"
"1700801277-5613","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Invesco India - Invesco EQQQ NASDAQ-100 ETF FoF","https://img.smartspends.com/static/images/amc_logo/invesco.png","₹304 Crs"
"1700801277-5614","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Invesco India - Invesco Global Consumer Trends FoF","https://img.smartspends.com/static/images/amc_logo/invesco.png","₹318 Crs"
"1700801277-5615","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Kotak Global Innovation FoF","https://img.smartspends.com/static/images/amc_logo/kotak.png","₹928 Crs"
"1700801277-5616","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Kotak International REIT FOF","https://img.smartspends.com/static/images/amc_logo/kotak.png","₹77 Crs"
"1700801277-5617","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Kotak Nasdaq 100 FOF","https://img.smartspends.com/static/images/amc_logo/kotak.png","₹2,388 Crs"
"1700801277-5618","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Mahindra Manulife Asia Pacific REITs FoF","https://img.smartspends.com/static/images/amc_logo/mahindra-manu.png","₹23 Crs"
"1700801277-5619","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Mirae Asset Global Electric & Autonomous Vehicles ETFs FoF","https://img.smartspends.com/static/images/amc_logo/mirae.png","₹80 Crs"
"1700801277-5620","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Mirae Asset Global X Artificial Intelligence & Technology ETF FoF","https://img.smartspends.com/static/images/amc_logo/mirae.png","₹175 Crs"
"1700801277-5621","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Mirae Asset Hang Seng TECH ETF FoF","https://img.smartspends.com/static/images/amc_logo/mirae.png","₹85 Crs"
"1700801277-5622","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Mirae Asset NYSE FANG+ ETF FoF","https://img.smartspends.com/static/images/amc_logo/mirae.png","₹996 Crs"
"1700801277-5623","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Mirae Asset S&P 500 Top 50 ETF FoF","https://img.smartspends.com/static/images/amc_logo/mirae.png","₹411 Crs"
"1700801277-5624","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Motilal Oswal Developed Market Ex US ETFs FoF","https://img.smartspends.com/static/images/amc_logo/motilal-oswal.png","₹10 Crs"
"1700801277-5625","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Motilal Oswal Nasdaq 100 FOF Scheme","https://img.smartspends.com/static/images/amc_logo/motilal-oswal.png","₹3,813 Crs"
"1700801277-5626","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Navi NASDAQ 100 FoF","https://img.smartspends.com/static/images/amc_logo/navi.png","₹671 Crs"
"1700801277-5627","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Navi US Total Stock Market FoF","https://img.smartspends.com/static/images/amc_logo/navi.png","₹694 Crs"
"1700801277-5628","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","Nippon India Taiwan Equity Fund","https://static.smartspends.com/static/images/short_providers_logos/nippon_mf.jpg","₹463 Crs"
"1700801277-5629","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","PGIM India Global Select Real Estate Securities FoF","https://img.smartspends.com/static/images/amc_logo/pgim-india.png","₹72 Crs"
"1700801277-5630","https://www.etmoney.com/mutual-funds/explore","InternationalInvests in world's top stocks","https://www.etmoney.com/mutual-funds/equity/international/50","SBI International Access - US Equity FoF","https://img.smartspends.com/static/images/amc_logo/sbi.png","₹731 Crs"
"1700801279-5631","https://www.etmoney.com/mutual-funds/explore","Value OrientedInvests in under-valued stocks with upside potential","https://www.etmoney.com/mutual-funds/equity/value-oriented/37","JM Value Fund","https://img.smartspends.com/static/images/amc_logo/jm-financial.png","₹287 Crs"
"1700801279-5632","https://www.etmoney.com/mutual-funds/explore","Value OrientedInvests in under-valued stocks with upside potential","https://www.etmoney.com/mutual-funds/equity/value-oriented/37","Templeton India Value Fund","https://img.smartspends.com/static/images/amc_logo/franklin-templeton.png","₹1,360 Crs"
"1700801279-5633","https://www.etmoney.com/mutual-funds/explore","Value OrientedInvests in under-valued stocks with upside potential","https://www.etmoney.com/mutual-funds/equity/value-oriented/37","HSBC Value Fund","https://img.smartspends.com/static/images/amc_logo/hsbc.png","₹9,289 Crs"
"1700801279-5634","https://www.etmoney.com/mutual-funds/explore","Value OrientedInvests in under-valued stocks with upside potential","https://www.etmoney.com/mutual-funds/equity/value-oriented/37","ICICI Prudential Value Discovery Fund","https://img.smartspends.com/static/images/amc_logo/icici.png","₹32,494 Crs"
"1700801279-5635","https://www.etmoney.com/mutual-funds/explore","Value OrientedInvests in under-valued stocks with upside potential","https://www.etmoney.com/mutual-funds/equity/value-oriented/37","Nippon India Value Fund","https://static.smartspends.com/static/images/short_providers_logos/nippon_mf.jpg","₹5,639 Crs"
